category,map,problem_id,w,reexpansion,opened,closed,expanded,reopened,path_length,dist,expected_dist,correct,time
bgmaps,AR0529SR.map,327697,1.5,True,135,45,297,3,26,31.62741699796953,29.97056274,False,0.00019364319996384438
bgmaps,AR0505SR.map,353848,100.0,False,1941,1009,6947,0,171,216.80613254816,122.92388153,False,0.0036447369999223155
bgmaps,AR0505SR.map,353848,3.0,True,3967,2342,16379,1899,98,123.50966799187798,122.92388153,False,0.010011909599961654
sc1,IceFloes.map,525488,3.0,True,71870,52418,397772,43642,526,626.8965363437834,600.79603119,False,0.2217849090000527
random,random512-15-0.map,771308,3.0,True,516,188,1100,0,168,192.68124086713198,175.32590179,False,0.00770231340011378
bgmaps,AR0505SR.map,353848,1.05,False,6909,3399,25578,0,97,122.92388155425107,122.92388153,True,0.0185565530000531
bgmaps,AR0529SR.map,327697,10.0,True,132,42,266,2,28,34.45584412271572,29.97056274,False,0.00017968940010177904
random,random512-10-3.map,746092,1.0,True,33023,19156,125320,2194,355,448.0264786586942,448.02647857,True,0.0874239654000121
maze,maze512-8-6.map,1192401,1.2,False,77452,47736,345835,0,1323,1559.344371239789,1543.60425567,False,0.16237552179991327
random,random512-15-0.map,771308,1.5,False,520,190,1112,0,163,185.6101730552665,175.32590179,False,0.0013198026001191466
random,random512-10-0.map,792765,10.0,False,1647,483,3122,0,464,569.4528855298876,534.18080749,False,0.002637589199912327
bgmaps,AR0529SR.map,327697,1.5,False,130,42,279,0,26,31.62741699796953,29.97056274,False,0.00017752359999576584
street,London_2_256.map,178997,100.0,False,74,23,184,0,24,23.0,23.0,True,0.00014047919994482073
sc1,Elderlands.map,537867,2.0,False,3908,1333,9951,0,708,899.6093065034935,887.18289947,False,0.013318665199949464
street,London_2_256.map,178997,1.1,False,74,23,184,0,24,23.0,23.0,True,0.0001425750000635162
street,NewYork_0_512.map,83366,1.1,False,4668,1805,13978,0,372,474.9676041556486,474.13917694,False,0.008035552199908124
sc1,EbonLakes.map,519726,10.0,True,210466,141041,1090605,127405,696,832.1046891454977,677.43564148,False,0.5898337767999692
street,Boston_0_256.map,81872,5.0,False,4681,2203,15589,0,217,282.6883835420691,259.14927826,False,0.006854690000000119
random,random512-10-0.map,792765,1.2,True,1764,532,3457,0,441,543.5533905932758,534.18080749,False,0.002584709599977941
street,Boston_0_256.map,81872,1.1,True,39335,25142,184798,12753,215,259.14927829866775,259.14927826,True,0.0975047915999312
maze,maze512-16-6.map,886451,100.0,False,17766,8555,64533,0,542,614.730014102412,514.16147156,False,0.04463134359994001
sc1,EbonLakes.map,519726,1.5,True,486033,274144,2152930,232662,676,735.0609665441002,677.43564148,False,1.0769092208000075
random,random512-10-0.map,792765,3.0,False,1647,481,3106,0,459,566.5239533417531,534.18080749,False,0.00555815600000642
street,London_2_256.map,178997,5.0,True,74,23,184,0,24,23.0,23.0,True,0.00013949139993201242
street,Boston_0_256.map,81872,5.0,True,21382,14721,105809,12778,215,279.0315292925767,259.14927826,False,0.05355316599998332
maze,maze512-8-6.map,1192401,3.0,True,240551,181955,1319269,140513,1324,1557.4448763031774,1543.60425567,False,0.7230258147999848
random,random512-10-0.map,792765,2.0,False,1633,484,3077,0,456,562.2813126546338,534.18080749,False,0.0025487372000497998
sc1,EbonLakes.map,519726,5.0,False,38039,16109,124275,0,760,876.2224381515884,677.43564148,False,0.06470894100002625
random,random512-10-0.map,792765,5.0,False,1645,480,3098,0,460,567.10973977938,534.18080749,False,0.0057062412000959736
street,NewYork_0_512.map,83366,1.05,True,15284,6495,50209,2926,372,474.1391770309024,474.13917694,True,0.027013905599960707
bgmaps,AR0013SR.map,348042,3.0,False,134,53,318,0,39,44.21320343559643,42.79898987,False,0.000203102600062266
random,random512-10-3.map,746092,100.0,False,1368,385,2551,0,379,467.055915910217,448.02647857,False,0.005265153600157646
sc1,Elderlands.map,537867,1.5,False,4140,1468,11019,0,708,895.4671708797624,887.18289947,False,0.013914850200126238
maze,maze512-16-6.map,886451,1.1,True,71746,38872,296870,14286,458,514.1614716074881,514.16147156,True,0.15244109600007505
random,random512-10-0.map,792765,1.0,False,45224,25252,166178,0,425,534.1808075912454,534.18080749,True,0.09037433419998706
street,NewYork_0_512.map,83366,1.5,False,2667,807,5987,0,372,478.28131265463344,474.13917694,False,0.003957609799908823
sc1,IceFloes.map,525488,1.0,False,75994,38858,295933,0,497,600.7960312803951,600.79603119,True,0.16408466180000686
maze,maze512-8-6.map,1192401,5.0,False,69881,41069,297264,0,1442,1675.4448763031776,1543.60425567,False,0.13054115579998324
random,random512-10-0.map,792765,1.0,True,53383,31615,209876,6363,425,534.1808075912454,534.18080749,True,0.11286818059998041
maze,maze512-8-6.map,1192401,10.0,True,522820,462034,3346011,421314,1337,1573.344371239789,1543.60425567,False,1.0285648575998494
bgmaps,AR0505SR.map,353848,1.2,True,15375,9016,67769,6484,97,122.92388155425105,122.92388153,True,0.03383622599994851
random,random512-10-3.map,746092,1.1,True,1819,642,4229,3,374,459.98484809835173,448.02647857,False,0.006188640799882706
sc1,EbonLakes.map,519726,100.0,False,29581,12552,96145,0,784,908.5067093990506,677.43564148,False,0.059886619799908655
random,random512-10-3.map,746092,2.0,False,1372,389,2569,0,377,465.055915910217,448.02647857,False,0.004539220399965416
sc1,EbonLakes.map,519726,1.1,False,95602,50542,391140,0,555,677.4356415871853,677.43564148,True,0.21312272480008687
maze,maze512-16-6.map,886451,1.0,True,52953,26036,198471,965,458,514.161471607488,514.16147156,True,0.10170818320002581
street,London_2_256.map,178997,10.0,True,74,23,184,0,24,23.0,23.0,True,0.00013877599994884803
bgmaps,AR0505SR.map,353848,1.05,True,10577,5894,44303,2495,97,122.92388155425107,122.92388153,True,0.01688421960006963
maze,maze512-1-3.map,1045672,5.0,False,341,333,673,0,248,247.0,247.0,True,0.0010375036001278204
random,random512-10-3.map,746092,100.0,True,1368,385,2551,0,379,467.055915910217,448.02647857,False,0.00180134239999461
street,Boston_0_256.map,81872,3.0,True,44790,31658,228972,28273,216,267.1909088590104,259.14927826,False,0.10101670980002382
bgmaps,AR0505SR.map,353848,10.0,False,2360,1223,8558,0,171,216.80613254816,122.92388153,False,0.009093967199987674
street,Boston_0_256.map,81872,1.2,True,69191,49003,359667,37407,215,259.14927829866775,259.14927826,True,0.2240418597999451
sc1,Elderlands.map,537867,1.1,True,6664,2697,20399,186,712,891.1828996323004,887.18289947,False,0.018811927200113134
maze,maze512-8-6.map,1192401,1.0,True,78879,48665,352714,108,1323,1543.604255869611,1543.60425567,True,0.18118113260006793
maze,maze512-1-3.map,1045672,3.0,True,466,462,927,0,248,247.0,247.0,True,0.001198598599876277
maze,maze512-16-6.map,886451,10.0,True,96266,64072,483982,54781,492,556.4457428549503,514.16147156,False,0.257752096799959
bgmaps,AR0505SR.map,353848,3.0,False,1080,421,3037,0,98,123.50966799187798,122.92388153,False,0.0019831695999528165
random,random512-15-0.map,771308,1.2,False,550,220,1298,0,162,178.39696961967002,175.32590179,False,0.0028217404000315583
random,random512-10-3.map,746092,1.1,False,1816,639,4209,0,374,459.98484809835173,448.02647857,False,0.0027287509999951
random,random512-15-0.map,771308,2.0,False,523,194,1123,0,168,192.68124086713198,175.32590179,False,0.0012968037999598891
street,Boston_0_256.map,81872,3.0,False,8661,4068,29512,0,216,278.7888886054574,259.14927826,False,0.02113727320011094
bgmaps,AR0529SR.map,327697,1.0,False,321,128,942,0,26,29.970562748477146,29.97056274,True,0.0003691427999001462
sc1,Elderlands.map,537867,1.1,False,6216,2518,19098,0,712,891.1828996323004,887.18289947,False,0.01635854920004931
bgmaps,AR0013SR.map,348042,1.2,True,226,96,603,4,38,42.798989873223334,42.79898987,True,0.001091982000070857
